Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Joe Burrow,QB,CIN,17,"1,132",67,100,4,0,61,61,381.9,33.7
Baker Mayfield,QB,TB,17,"1,123",66,99,5,0,56,56,381.8,34
Caleb Williams,QB,CHI,17,"1,123",66,99,7,0,57,57,260.5,23.2
Jared Goff,QB,DET,17,"1,113",65,97,3,0,52,52,335.5,30.1
Sam Darnold,QB,MIN,17,"1,110",65,99,6,0,55,55,319.8,28.8
Patrick Mahomes II,QB,KC,16,"1,106",69,99,5,0,58,58,292.9,26.5
Bo Nix,QB,DEN,17,"1,088",64,99,8,0,61,61,328.1,30.2
Geno Smith,QB,SEA,17,"1,075",63,98,5,0,59,59,281.1,26.1
Lamar Jackson,QB,BAL,17,"1,074",63,97,13,0,57,57,434.4,40.4
DJ Moore,WR,CHI,17,"1,066",63,94,1,13,11,15,140.1,13.1
Kyler Murray,QB,ARI,17,"1,065",63,97,7,0,58,58,308.4,29
Jayden Daniels,QB,WAS,17,"1,062",62,91,14,0,59,59,364.7,34.3
Jerry Jeudy,WR,CLE,17,"1,061",62,90,0,14,8,14,150.9,14.2
Ja'Marr Chase,WR,CIN,17,"1,054",62,93,0,17,12,17,276,26.2
Justin Herbert,QB,LAC,17,"1,045",61,98,7,0,55,55,288.6,27.6
Justin Jefferson,WR,MIN,17,"1,043",61,93,0,15,10,15,214.5,20.6
C.J. Stroud,QB,HOU,17,"1,035",61,93,5,0,56,57,232.4,22.5
Drake London,WR,ATL,17,"1,032",61,90,0,15,10,15,180.8,17.5
Aaron Rodgers,QB,NYJ,17,"1,030",61,97,2,0,59,59,267.6,26
Garrett Wilson,WR,NYJ,17,"1,025",60,96,0,15,10,15,150.9,14.7
Matthew Stafford,QB,LAR,16,"1,024",64,100,3,0,53,53,222.6,21.7
Amon-Ra St. Brown,WR,DET,17,"1,010",59,88,0,14,12,14,201.2,19.9
Cole Kmet,TE,CHI,17,994,58,88,0,6,5,6,73.4,7.4
Darnell Mooney,WR,ATL,16,988,62,93,0,11,7,11,129.2,13.1
Tre Tucker,WR,LV,17,984,58,88,1,8,6,9,82.3,8.4
Ray-Ray McCloud III,WR,ATL,17,981,58,86,1,9,7,10,78.5,8
Josh Allen,QB,BUF,17,968,57,89,11,0,60,60,385.1,39.8
Brock Bowers,TE,LV,17,956,56,85,1,16,12,17,150.7,15.8
Rome Odunze,WR,CHI,17,954,56,84,0,11,6,11,90.9,9.5
Jaxon Smith-Njigba,WR,SEA,17,948,56,86,1,14,11,15,153,16.1
Brock Purdy,QB,SF,15,944,63,99,7,0,55,55,279,29.6
Travis Kelce,TE,KC,16,940,59,84,0,14,10,14,98.4,10.5
Courtland Sutton,WR,DEN,17,936,55,85,0,14,9,15,159.3,17
Terry McLaurin,WR,WAS,17,935,55,80,0,13,9,13,185.8,19.9
Jalen Hurts,QB,PHI,15,934,62,91,16,0,55,55,320,34.3
Trey McBride,TE,ARI,16,934,58,90,0,16,12,16,138.8,14.9
Tucker Kraft,TE,GB,17,925,54,85,0,8,6,8,113.3,12.2
