Rank,Player,Team,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT2,YDS3,TD4,FL,G,FPTS,FPTS/G,ROST
1,Lamar Jackson (BAL),BAL,316,474,66.7,"4,172",8.8,41,4,23,139,915,4,5,17,434.4,25.6,98.80%
2,Josh Allen (BUF),BUF,307,483,63.6,"3,731",7.7,28,6,14,102,531,12,2,17,385.1,22.7,99.20%
3,Joe Burrow (CIN),CIN,460,652,70.6,"4,918",7.5,43,9,48,42,201,2,5,17,381.9,22.5,97.90%
4,Baker Mayfield (TB),TB,407,570,71.4,"4,500",7.9,41,16,40,60,378,3,2,17,381.8,22.5,94.10%
5,Jayden Daniels (WAS),WAS,331,480,69,"3,568",7.4,25,9,47,148,891,6,0,17,364.7,21.5,98.50%
6,Jared Goff (DET),DET,390,539,72.4,"4,629",8.6,37,12,31,35,56,0,0,17,335.5,19.7,86.20%
7,Bo Nix (DEN),DEN,376,567,66.3,"3,775",6.7,29,12,24,92,430,4,0,17,328.1,19.3,91.50%
8,Jalen Hurts (PHI),PHI,248,361,68.7,"2,903",8,18,5,38,150,630,14,5,15,320,21.3,98.30%
9,Sam Darnold (SEA),SEA,361,545,66.2,"4,319",7.9,35,12,48,67,212,1,4,17,319.8,18.8,37.00%
10,Kyler Murray (ARI),ARI,372,541,68.8,"3,851",7.1,21,11,30,78,572,5,4,17,308.4,18.1,89.40%
11,Patrick Mahomes II (KC),KC,392,581,67.5,"3,928",6.8,26,11,36,58,307,2,0,16,292.9,18.3,95.80%
12,Justin Herbert (LAC),LAC,332,504,65.9,"3,870",7.7,23,3,41,69,306,2,2,17,288.6,17,87.10%
13,Geno Smith (LV),LV,407,578,70.4,"4,320",7.5,21,15,50,53,272,2,0,17,281.1,16.5,37.10%
14,Brock Purdy (SF),SF,300,455,65.9,"3,864",8.5,20,12,31,66,323,5,3,15,279,18.6,89.20%
15,Aaron Rodgers (PIT),PIT,368,584,63,"3,897",6.7,28,11,40,22,107,0,2,17,267.6,15.7,27.00%
16,Caleb Williams (CHI),CHI,351,562,62.5,"3,541",6.3,20,6,68,81,489,0,5,17,260.5,15.3,81.70%
17,Jordan Love (GB),GB,268,425,63.1,"3,389",8,25,11,14,25,83,1,0,15,244.9,16.3,74.80%
18,C.J. Stroud (HOU),HOU,336,532,63.2,"3,727",7,20,12,52,52,233,0,4,17,232.4,13.7,71.10%
19,Matthew Stafford (LAR),LAR,340,517,65.8,"3,762",7.3,20,8,28,30,41,0,2,16,222.6,13.9,49.00%
20,Bryce Young (CAR),CAR,234,384,60.9,"2,403",6.3,15,9,29,43,249,6,2,14,203.8,14.6,43.80%
21,Kirk Cousins (ATL),ATL,303,453,66.9,"3,508",7.7,18,16,28,23,0,0,2,14,192.3,13.7,18.20%
22,Tua Tagovailoa (MIA),MIA,291,399,72.9,"2,867",7.2,19,7,21,17,49,0,2,11,188.5,17.1,49.90%
23,Drake Maye (NE),NE,225,338,66.6,"2,276",6.7,15,10,34,54,421,2,6,14,187.1,13.4,75.10%
24,Russell Wilson (NYG),NYG,214,336,63.7,"2,482",7.4,16,5,33,43,155,2,4,11,177.8,16.2,23.40%
25,Anthony Richardson Sr. (IND),IND,126,264,47.7,"1,814",6.9,8,12,14,86,499,6,3,11,174.5,15.9,39.50%
26,Derek Carr (FA),FA,189,279,67.7,"2,145",7.7,15,5,8,17,71,1,0,10,156,15.6,15.10%
27,Trevor Lawrence (JAC),JAC,172,284,60.6,"2,045",7.2,11,7,18,26,119,3,1,10,152.2,15.2,50.80%
28,Jameis Winston (NYG),NYG,181,296,61.1,"2,121",7.2,13,12,24,25,83,1,2,12,143.2,11.9,11.00%
29,Daniel Jones (IND),IND,216,341,63.3,"2,070",6.1,8,7,29,67,265,2,2,10,142.3,14.2,20.00%
30,Will Levis (TEN),TEN,190,301,63.1,"2,091",6.9,13,12,41,45,183,0,6,12,132,11,8.90%
31,Dak Prescott (DAL),DAL,185,286,64.7,"1,978",6.9,11,8,21,13,54,1,1,8,124.5,15.6,76.70%
