Rank,Player,Team,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS2,Y/R,TD3,FL,G,FPTS,FPTS/G,ROST
1,Saquon Barkley (PHI),PHI,345,"2,005",5.8,72,17,13,33,43,278,8.4,2,1,16,322.3,20.1,99.00%
2,Derrick Henry (BAL),BAL,325,"1,921",5.9,87,19,16,19,22,193,10.2,2,1,17,317.4,18.7,98.70%
3,Jahmyr Gibbs (DET),DET,250,"1,412",5.6,70,13,16,52,63,517,9.9,4,1,17,310.9,18.3,99.00%
4,Bijan Robinson (ATL),ATL,304,"1,456",4.8,37,5,14,61,72,431,7.1,1,0,17,280.7,16.5,98.70%
5,Josh Jacobs (GB),GB,301,"1,329",4.4,38,7,15,36,43,342,9.5,1,3,17,257.1,15.1,98.10%
6,Kyren Williams (LAR),LAR,316,"1,299",4.1,30,2,14,34,40,182,5.4,2,3,16,238.1,14.9,97.60%
7,James Cook (BUF),BUF,207,"1,009",4.9,65,6,16,32,38,258,8.1,2,0,16,234.7,14.7,97.60%
8,Jonathan Taylor (IND),IND,303,"1,431",4.7,70,11,11,18,31,136,7.6,1,1,14,226.7,16.2,98.00%
9,De'Von Achane (MIA),MIA,203,907,4.5,61,5,6,78,87,592,7.6,6,0,17,221.9,13.1,97.90%
10,James Conner (ARI),ARI,236,"1,094",4.6,53,6,8,47,55,414,8.8,1,1,16,206.8,12.9,92.30%
11,Joe Mixon (HOU),HOU,245,"1,016",4.1,59,8,11,36,52,309,8.6,1,0,14,204.5,14.6,96.60%
12,Chase Brown (CIN),CIN,229,990,4.3,40,8,7,54,65,360,6.7,4,1,16,201,12.6,94.70%
13,Chuba Hubbard (CAR),CAR,250,"1,195",4.8,38,8,10,43,54,171,4,1,3,15,198.6,13.2,93.30%
14,Bucky Irving (TB),TB,207,"1,122",5.4,56,8,8,47,52,392,8.3,0,1,17,197.4,11.6,98.10%
15,Alvin Kamara (NO),NO,228,950,4.2,24,3,6,68,89,543,8,2,0,14,197.3,14.1,94.60%
16,Aaron Jones Sr. (MIN),MIN,255,"1,138",4.5,41,3,5,51,62,408,8,2,3,17,190.6,11.2,89.40%
17,David Montgomery (DET),DET,185,775,4.2,21,1,12,36,38,341,9.5,0,1,14,185.7,13.3,93.50%
18,Breece Hall (NYJ),NYJ,209,876,4.2,42,3,5,57,76,483,8.5,3,2,16,183.9,11.5,96.60%
19,D'Andre Swift (CHI),CHI,253,959,3.8,56,5,6,42,52,386,9.2,0,0,17,172.5,10.1,88.60%
20,Najee Harris (LAC),LAC,263,"1,043",4,36,9,6,36,48,283,7.9,0,0,17,168.6,9.9,82.40%
21,J.K. Dobbins (DEN),DEN,195,905,4.6,61,6,9,32,38,153,4.8,0,0,13,159.8,12.3,49.30%
22,Tony Pollard (TEN),TEN,260,"1,079",4.2,41,6,5,41,57,238,5.8,0,2,16,159.7,10,87.40%
23,Rico Dowdle (CAR),CAR,235,"1,079",4.6,27,2,2,39,49,249,6.4,3,2,16,158.8,9.9,41.20%
24,Rachaad White (TB),TB,144,613,4.3,56,2,3,51,57,393,7.7,6,3,16,148.6,9.3,72.80%
25,Zach Charbonnet (SEA),SEA,135,569,4.2,51,3,8,42,52,340,8.1,1,0,17,144.9,8.5,78.90%
26,Tyrone Tracy Jr. (NYG),NYG,192,839,4.4,45,6,5,38,53,284,7.5,1,2,17,144.3,8.5,85.00%
27,Rhamondre Stevenson (NE),NE,207,801,3.9,33,2,7,33,41,168,5.1,1,3,15,142.9,9.5,82.70%
28,Brian Robinson Jr. (WAS),WAS,187,799,4.3,40,4,8,20,25,159,8,0,2,14,139.8,10,85.70%
29,Kenneth Walker III (SEA),SEA,153,573,3.7,28,5,7,46,53,299,6.5,1,0,11,135.2,12.3,94.00%
30,Kareem Hunt (KC),KC,200,728,3.6,20,1,7,23,32,176,7.7,0,0,13,132.4,10.2,32.10%
31,Tank Bigsby (JAC),JAC,168,766,4.6,65,4,7,7,12,54,7.7,0,1,16,122,7.6,72.30%
32,Javonte Williams (DAL),DAL,139,513,3.7,20,1,4,52,70,346,6.7,0,2,17,105.9,6.2,77.90%
33,Jordan Mason (MIN),MIN,153,789,5.2,38,9,3,11,14,91,8.3,0,1,12,104,8.7,65.20%
34,Alexander Mattison (MIA),MIA,132,420,3.2,24,1,4,36,48,294,8.2,1,1,14,101.4,7.2,9.20%
35,Ray Davis (BUF),BUF,113,442,3.9,23,2,3,17,19,189,11.1,3,0,17,99.1,5.8,44.30%
36,Austin Ekeler (WAS),WAS,77,367,4.8,50,4,4,35,41,366,10.5,0,0,12,97.3,8.1,69.00%
37,Jerome Ford (CLE),CLE,104,565,5.4,66,5,3,37,43,225,6.1,0,0,14,97,6.9,39.10%
38,Tyler Allgeier (ATL),ATL,137,644,4.7,25,4,3,13,13,88,6.8,0,0,17,93.2,5.5,46.80%
39,Travis Etienne Jr. (JAC),JAC,150,558,3.7,22,2,2,39,52,254,6.5,0,1,15,91.2,6.1,82.00%
40,Jaylen Warren (PIT),PIT,120,511,4.3,22,1,1,38,47,310,8.2,0,1,15,86.1,5.7,84.40%
41,Ameer Abdullah (FA),FA,66,311,4.7,40,1,2,40,47,261,6.5,3,1,16,85.2,5.3,1.00%
42,Justice Hill (BAL),BAL,47,228,4.9,51,2,1,42,51,383,9.1,3,0,15,85.1,5.7,21.10%
43,Emanuel Wilson (GB),GB,103,502,4.9,21,1,4,11,14,48,4.4,1,0,17,85,5,3.50%
44,Tyjae Spears (TEN),TEN,84,312,3.7,23,1,4,30,35,224,7.5,1,0,12,83.6,7,68.30%
45,Antonio Gibson (NE),NE,120,538,4.5,45,4,1,23,29,206,9,0,0,17,80.4,4.7,13.60%
46,Cam Akers (FA),FA,104,444,4.3,58,2,2,14,18,68,4.9,3,1,16,79.2,5,2.90%
47,Isaac Guerendo (SF),SF,84,420,5,76,2,4,15,16,152,10.1,0,1,16,79.2,5,51.30%
48,Devin Singletary (NYG),NYG,113,437,3.9,43,2,4,21,24,119,5.7,0,2,16,75.6,4.7,11.30%
