Rank,TeamName,Team,SOS,2024 W,2024 L,2024 T,PowRank,FPI
1,New York Giants,NYG,0.574,3,14,0,27,-3.8
2,Chicago Bears,CHI,0.571,5,12,0,16,0.4
3,Detroit Lions,DET,0.571,15,2,0,5,4.7
4,Philadelphia Eagles,PHI,0.561,14,3,0,1,5.3
5,Dallas Cowboys,DAL,0.557,7,10,0,17,0
6,Green Bay Packers,GB,0.557,11,6,0,8,2.4
7,Minnesota Vikings,MIN,0.557,14,3,0,15,0.8
8,Washington Commanders,WAS,0.55,12,5,0,6,2.8
9,Baltimore Ravens,BAL,0.533,12,5,0,3,5.1
10,Pittsburgh Steelers,PIT,0.526,10,7,0,18,-0.1
11,Kansas City Chiefs,KC,0.522,15,2,0,2,5.3
12,Los Angeles Chargers,LAC,0.522,11,6,0,9,2.2
13,Cleveland Browns,CLE,0.519,3,14,0,30,-4.9
14,Cincinnati Bengals,CIN,0.509,9,8,0,7,2.5
15,Denver Broncos,DEN,0.505,10,7,0,11,1.4
16,Las Vegas Raiders,LV,0.502,4,13,0,24,-2
17,Los Angeles Rams,LAR,0.491,10,7,0,10,1.7
18,Houston Texans,HOU,0.481,10,7,0,13,0.9
19,Tampa Bay Buccaneers,TB,0.481,10,7,0,14,0.9
20,Atlanta Falcons,ATL,0.478,8,9,0,26,-2.7
21,Miami Dolphins,MIA,0.474,8,9,0,19,-0.8
22,Seattle Seahawks,SEA,0.474,10,7,0,21,-1.4
23,Buffalo Bills,BUF,0.467,13,4,0,4,4.7
24,Jacksonville Jaguars,JAC,0.467,4,13,0,22,-1.8
25,Indianapolis Colts,IND,0.464,8,9,0,23,-1.8
26,New York Jets,NYJ,0.46,5,12,0,29,-4.7
27,Arizona Cardinals,ARI,0.457,8,9,0,20,-0.9
28,Carolina Panthers,CAR,0.457,5,12,0,28,-4
29,Tennessee Titans,TEN,0.45,3,14,0,31,-5.1
30,New England Patriots,NE,0.429,3,14,0,25,-2.5
31,New Orleans Saints,NO,0.419,5,12,0,32,-5.4
32,San Francisco 49ers,SF,0.415,6,11,0,12,1.3
