Rank,Player,Teams,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS2,TD3,FL,G,FPTS,FPTS/G,ROST
1,George Kittle (SF),SF,78,94,"1,106",14.2,43,21,8,0,0,0,0,15,158.6,10.6,97.90%
2,Brock Bowers (LV),LV,112,153,"1,194",10.7,57,15,5,5,13,0,0,17,150.7,8.9,98.80%
3,Trey McBride (ARI),ARI,111,147,"1,146",10.3,37,10,2,1,2,1,0,16,138.8,8.7,98.30%
4,Jonnu Smith (MIA),MIA,88,111,884,10,57,4,8,2,-1,0,1,17,134.3,7.9,90.40%
5,Mark Andrews (BAL),BAL,55,69,673,12.2,67,6,11,4,5,0,0,17,133.8,7.9,93.30%
6,Sam LaPorta (DET),DET,60,83,726,12.1,52,11,7,0,0,0,0,16,114.6,7.2,97.70%
7,Tucker Kraft (GB),GB,50,70,707,14.1,67,11,7,3,6,0,1,17,113.3,6.7,85.10%
8,Zach Ertz (WAS),WAS,66,91,654,9.9,37,7,7,0,0,0,0,17,111.4,6.6,48.20%
9,Pat Freiermuth (PIT),PIT,65,78,653,10,30,7,7,0,0,0,2,17,103.3,6.1,59.50%
10,Travis Kelce (KC),KC,97,133,823,8.5,38,9,3,1,1,0,1,16,98.4,6.2,94.70%
11,David Njoku (CLE),CLE,64,97,505,7.9,29,4,5,0,0,0,0,11,84.5,7.7,89.80%
12,Kyle Pitts (ATL),ATL,47,74,602,12.8,52,7,4,0,0,0,0,17,84.2,5,54.60%
13,Isaiah Likely (BAL),BAL,42,58,477,11.4,49,4,6,0,0,0,1,16,81.7,5.1,51.50%
14,Cade Otton (TB),TB,59,87,600,10.2,44,7,4,1,-4,0,1,14,81.6,5.8,37.60%
15,Taysom Hill (NO),NO,23,31,187,8.1,34,2,0,39,278,6,1,8,80.3,10,20.60%
16,Hunter Henry (NE),NE,66,97,674,10.2,35,4,2,0,0,0,0,16,79.4,5,48.80%
17,Mike Gesicki (CIN),CIN,65,83,665,10.2,47,5,2,0,0,0,1,17,76.5,4.5,35.20%
18,Cole Kmet (CHI),CHI,47,55,474,10.1,31,7,4,0,0,0,0,17,73.4,4.3,26.50%
19,Noah Gray (KC),KC,40,49,437,10.9,35,6,5,1,-4,0,0,17,73.3,4.3,17.60%
20,Juwan Johnson (NO),NO,50,66,548,11,30,8,3,0,0,0,0,17,72.8,4.3,18.10%
21,Foster Moreau (NO),NO,32,43,413,12.9,41,7,5,0,0,0,0,17,71.3,4.2,1.40%
22,Tyler Conklin (LAC),LAC,51,72,449,8.8,27,7,4,1,0,0,0,16,70.9,4.4,14.10%
23,Dalton Schultz (HOU),HOU,53,85,532,10,32,5,2,0,0,0,0,17,65.2,3.8,24.20%
24,Austin Hooper (NE),NE,45,59,476,10.6,38,5,3,0,0,0,1,17,63.6,3.7,3.50%
25,Chig Okonkwo (TEN),TEN,52,70,479,9.2,70,4,2,1,17,0,1,17,61.6,3.6,24.50%
26,Dallas Goedert (PHI),PHI,42,52,496,11.8,61,7,2,0,0,0,0,10,61.6,6.2,81.70%
27,Will Dissly (LAC),LAC,50,64,481,9.6,29,5,2,0,0,0,0,15,60.1,4,8.50%
28,Dalton Kincaid (BUF),BUF,44,75,448,10.2,29,5,2,0,0,0,0,13,56.8,4.4,81.80%
29,Noah Fant (SEA),SEA,48,64,500,10.4,32,3,1,0,0,0,0,14,56,4,17.70%
30,Brenton Strange (JAC),JAC,40,53,411,10.3,30,7,2,0,0,0,1,17,51.1,3,33.70%
31,Jordan Akins (FA),FA,40,58,390,9.8,21,3,2,0,0,0,0,17,51,3,1.00%
32,AJ Barner (SEA),SEA,30,38,245,8.2,20,1,4,0,0,0,0,17,48.5,2.9,8.40%
33,T.J. Hockenson (MIN),MIN,41,62,455,11.1,34,5,0,0,0,0,0,10,45.5,4.6,94.10%
34,Jake Ferguson (DAL),DAL,59,86,494,8.4,27,6,0,0,0,0,2,14,45.4,3.2,72.10%
35,Josh Oliver (MIN),MIN,22,28,258,11.7,28,5,3,0,0,0,0,15,43.8,2.9,1.00%
36,Evan Engram (DEN),DEN,47,64,365,7.8,24,2,1,0,0,0,1,9,42.5,4.7,86.90%
37,Ja'Tavion Sanders (CAR),CAR,33,43,342,10.4,46,6,1,0,0,0,0,16,40.2,2.5,21.10%
38,Theo Johnson (NYG),NYG,29,43,331,11.4,35,4,1,0,0,0,0,12,39.1,3.3,18.30%
39,Dawson Knox (BUF),BUF,22,33,311,14.1,39,7,1,0,0,0,0,16,37.1,2.3,5.70%
40,Grant Calcaterra (PHI),PHI,24,30,298,12.4,34,6,1,0,0,0,0,17,35.8,2.1,2.20%
41,Colby Parkinson (LAR),LAR,30,49,294,9.8,23,2,1,0,0,0,0,17,35.4,2.1,3.30%
42,Tommy Tremble (CAR),CAR,23,32,234,10.2,38,2,2,0,0,0,1,12,33.4,2.8,1.40%
43,Josh Whyle (TEN),TEN,28,37,248,8.9,33,3,1,0,0,0,0,17,32.8,1.9,0.80%
44,Nick Vannett (FA),FA,17,21,135,7.9,24,1,3,0,0,0,0,17,31.5,1.9,0.00%
45,Adam Trautman (DEN),DEN,13,22,188,14.5,37,2,2,0,0,0,0,17,30.8,1.8,0.70%
46,Luke Schoonmaker (DAL),DAL,27,36,241,8.9,24,3,1,0,0,0,0,17,30.1,1.8,4.60%
47,Nate Adkins (DEN),DEN,14,15,115,8.2,16,0,3,0,0,0,0,17,29.5,1.7,1.10%
48,Elijah Higgins (ARI),ARI,20,24,172,8.6,23,1,2,0,0,0,0,17,29.2,1.7,1.70%
49,Johnny Mundt (JAC),JAC,19,27,142,7.5,20,1,2,0,0,0,0,17,26.2,1.5,0.20%
50,Darnell Washington (PIT),PIT,19,25,200,10.5,29,3,1,0,0,0,0,17,26,1.5,3.00%
51,Payne Durham (TB),TB,11,14,115,10.5,31,2,2,0,0,0,0,16,23.5,1.5,0.60%
52,Brock Wright (DET),DET,13,16,100,7.7,16,0,2,0,0,0,0,17,22,1.3,1.10%
53,Mo Alie-Cox (IND),IND,12,22,147,12.3,22,2,1,0,0,0,0,17,20.7,1.2,0.60%
54,Tanner Hudson (CIN),CIN,19,23,154,8.1,19,0,1,1,1,0,1,11,19.5,1.8,1.20%
55,Charlie Kolar (BAL),BAL,9,11,131,14.6,55,2,1,1,2,0,0,13,19.3,1.5,0.10%
56,Cade Stover (HOU),HOU,15,22,133,8.9,27,1,1,0,0,0,0,15,19.3,1.3,3.40%
57,Stone Smartt (NYJ),NYJ,16,19,208,13,31,4,0,0,0,0,1,15,18.8,1.3,2.40%
58,Tyler Higbee (LAR),LAR,8,12,66,8.3,17,0,2,0,0,0,0,3,18.6,6.2,16.90%
59,Kylen Granson (PHI),PHI,14,31,182,13,40,3,0,0,0,0,0,17,18.2,1.1,1.20%
60,Drew Ogletree (IND),IND,9,14,109,12.1,22,3,1,0,0,0,0,17,16.9,1,0.60%
61,Drew Sample (CIN),CIN,20,22,109,5.5,12,0,1,1,-4,0,0,17,16.5,1,0.60%
62,Erick All Jr. (CIN),CIN,20,22,158,7.9,28,1,0,0,0,0,0,9,15.8,1.8,1.50%
